Source,Target,Type,Kind,Id,Label,timeset,Weight
@ybnl_surveyor01,@8thpathofpain,Directed,Mention,7897,,<[2022-03-02T10:15:37.367Z]>,1
@ybnl_surveyor01,@8thpathofpain,Directed,Retweet,7898,,<[2022-03-02T10:15:37.367Z]>,1
@gauravk20601889,@rwkashyap,Directed,Mention,7899,,<[2022-03-02T10:15:37.777Z]>,1
@gauravk20601889,@rwkashyap,Directed,Retweet,7900,,<[2022-03-02T10:15:37.777Z]>,1
@sherkhan1111786,@speaksgautam,Directed,Mention,7901,,<[2022-03-02T10:15:38.926Z]>,1
@sherkhan1111786,@speaksgautam,Directed,Retweet,7902,,<[2022-03-02T10:15:38.926Z]>,1
@swapnilsinghbi1,@anmology,Directed,Mention,7903,,<[2022-03-02T10:15:39.033Z]>,1
@swapnilsinghbi1,@anmology,Directed,Retweet,7904,,<[2022-03-02T10:15:39.033Z]>,1
@grahsthsanyasi,@misson_2024,Directed,Mention,7905,,<[2022-03-02T10:15:39.200Z]>,1
@grahsthsanyasi,@misson_2024,Directed,Retweet,7906,,<[2022-03-02T10:15:39.200Z]>,1
@hemanth48597405,@musty_mustaphaa,Directed,Mention,7907,,<[2022-03-02T10:15:39.979Z]>,1
@hemanth48597405,@musty_mustaphaa,Directed,Retweet,7908,,<[2022-03-02T10:15:39.979Z]>,1
@mili19526861,@codesourabh,Directed,Mention,7909,,<[2022-03-02T10:15:39.988Z]>,1
@mili19526861,@codesourabh,Directed,Retweet,7910,,<[2022-03-02T10:15:39.988Z]>,1
@srikant81901888,@gdbakshi2,Directed,Mention,7913,,<[2022-03-02T10:15:40.575Z]>,1
@srikant81901888,@gdbakshi2,Directed,Retweet,7914,,<[2022-03-02T10:15:40.575Z]>,1
@raosahab23,@headofpantungi,Directed,Mention,7915,,<[2022-03-02T10:15:41.967Z]>,1
@raosahab23,@headofpantungi,Directed,Retweet,7916,,<[2022-03-02T10:15:41.967Z]>,1
@hemanth48597405,@eleven45pm,Directed,Mention,7919,,<[2022-03-02T10:15:42.676Z]>,1
@hemanth48597405,@eleven45pm,Directed,Retweet,7920,,<[2022-03-02T10:15:42.676Z]>,1
@talhapubgg,@namboodhri,Directed,Mention,7921,,<[2022-03-02T10:15:42.854Z]>,1
@talhapubgg,@namboodhri,Directed,Retweet,7922,,<[2022-03-02T10:15:42.854Z]>,1
@aharis1234,@radioactivefrnd,Directed,Mention,7923,,<[2022-03-02T10:15:43.102Z]>,1
@aharis1234,@radioactivefrnd,Directed,Retweet,7924,,<[2022-03-02T10:15:43.102Z]>,1
@gauravk20601889,@mansi697verma,Directed,Mention,7925,,<[2022-03-02T10:15:44.274Z]>,1
@gauravk20601889,@mansi697verma,Directed,Retweet,7926,,<[2022-03-02T10:15:44.274Z]>,1
@tharaarv,@himantabiswa,Directed,Mention,7928,,<[2022-03-02T10:15:44.286Z]>,1
@krishnasharmayt,@rishusi55,Directed,Mention,7931,,<[2022-03-02T10:15:44.836Z]>,1
@krishnasharmayt,@rishusi55,Directed,Retweet,7932,,<[2022-03-02T10:15:44.836Z]>,1
@prabhavkumar20,@rjsh003,Directed,Mention,7933,,<[2022-03-02T10:15:45.317Z]>,1
@prabhavkumar20,@rjsh003,Directed,Retweet,7934,,<[2022-03-02T10:15:45.317Z]>,1
@akashku69097212,@mufadalvohra,Directed,Mention,7935,,<[2022-03-02T10:15:45.317Z]>,1
@akashku69097212,@mufadalvohra,Directed,Retweet,7936,,<[2022-03-02T10:15:45.317Z]>,1
@rajagopalps8,@imprincenishad,Directed,Mention,7937,,<[2022-03-02T10:15:45.883Z]>,1
@rajagopalps8,@imprincenishad,Directed,Retweet,7938,,<[2022-03-02T10:15:45.883Z]>,1
@ima_indian,@md_haroon_001,Directed,Mention,7939,,<[2022-03-02T10:15:46.122Z]>,1
@ima_indian,@md_haroon_001,Directed,Retweet,7940,,<[2022-03-02T10:15:46.122Z]>,1
@dasjisnudeep,@mas_742,Directed,Mention,7943,,<[2022-03-02T10:15:46.767Z]>,1
@dasjisnudeep,@mas_742,Directed,Retweet,7944,,<[2022-03-02T10:15:46.767Z]>,1
@khasrunur,@evansma254,Directed,Mention,7945,,<[2022-03-02T10:15:46.902Z]>,1
@khasrunur,@evansma254,Directed,Retweet,7946,,<[2022-03-02T10:15:46.902Z]>,1
@snehaambekar,@gdbakshi2,Directed,Mention,7947,,<[2022-03-02T10:15:47.261Z]>,1
@snehaambekar,@gdbakshi2,Directed,Retweet,7948,,<[2022-03-02T10:15:47.261Z]>,1
@chinmayee606,@sumityadav727,Directed,Mention,7949,,<[2022-03-02T10:15:48.048Z]>,1
@chinmayee606,@sumityadav727,Directed,Retweet,7950,,<[2022-03-02T10:15:48.048Z]>,1
@parag2cool,@codesourabh,Directed,Mention,7951,,<[2022-03-02T10:15:48.946Z]>,1
@parag2cool,@codesourabh,Directed,Retweet,7952,,<[2022-03-02T10:15:48.946Z]>,1
@gauravk20601889,@kwasigold13,Directed,Mention,7953,,<[2022-03-02T10:15:49.360Z]>,1
@gauravk20601889,@kwasigold13,Directed,Retweet,7954,,<[2022-03-02T10:15:49.360Z]>,1
@desh_kimushkan,@kuldeep31012171,Directed,Mention,7955,,<[2022-03-02T10:15:49.658Z]>,1
@desh_kimushkan,@kuldeep31012171,Directed,Retweet,7956,,<[2022-03-02T10:15:49.658Z]>,1
@vigneshviku6,@vatsala_singh_,Directed,Mention,7957,,<[2022-03-02T10:15:50.848Z]>,1
@vigneshviku6,@vatsala_singh_,Directed,Retweet,7958,,<[2022-03-02T10:15:50.848Z]>,1
@mrazzaqbpp,@jawadahmadone,Directed,Mention,7959,,<[2022-03-02T10:15:51.204Z]>,1
@dmalakki13,@zahirshah28555,Directed,Mention,7960,,<[2022-03-02T10:15:52.359Z]>,1
@dmalakki13,@zahirshah28555,Directed,Retweet,7961,,<[2022-03-02T10:15:52.359Z]>,1
@mingleyou,@bharatk67053857,Directed,Mention,7962,,<[2022-03-02T10:15:52.718Z]>,1
@mingleyou,@bharatk67053857,Directed,Retweet,7963,,<[2022-03-02T10:15:52.718Z]>,1
@yuvastra,@sakshiprakash26,Directed,Mention,7964,,<[2022-03-02T10:15:52.803Z]>,1
@yuvastra,@vijendra215,Directed,Mention,7965,,<[2022-03-02T10:15:52.803Z]>,1
@yuvastra,@sakshiprakash26,Directed,Retweet,7966,,<[2022-03-02T10:15:52.803Z]>,1
@sakshiprakash26,@vijendra215,Directed,Mention,7967,,<[2022-03-02T10:15:52.803Z]>,1
@sahilkapride,@vishals51652659,Directed,Mention,7968,,<[2022-03-02T10:15:53.026Z]>,1
@sahilkapride,@vishals51652659,Directed,Retweet,7969,,<[2022-03-02T10:15:53.026Z]>,1
@rising_sun_____,@rishusi55,Directed,Mention,7970,,<[2022-03-02T10:15:53.861Z]>,1
@rising_sun_____,@rishusi55,Directed,Retweet,7971,,<[2022-03-02T10:15:53.861Z]>,1
@jafarshaikh02,@indddy77,Directed,Mention,7973,,<[2022-03-02T10:15:54.459Z]>,1
@jafarshaikh02,@indddy77,Directed,Retweet,7974,,<[2022-03-02T10:15:54.459Z]>,1
@kuldeep31012171,@hihellolisten1,Directed,Mention,7975,,<[2022-03-02T10:15:54.731Z]>,1
